Algorithm,Size,Time(seconds)
insertion,4600,0.002204
shell,4600,0.000368
heap,4600,0.000355
merge,4600,0.000422
quick,4600,0.000241
comb,4600,0.000341
cocktail,4600,0.034204
cycle,4600,0.014495
gnome,4600,0.033543
tim,4600,0.000185
counting,4600,0.000022
radix,4600,0.000094
bucket,4600,0.000309
pigeonhole,4600,0.000048
bitonic,4600,0.000776
stooge,4600,8.524791
oddeven,4600,0.007494
strand,4600,0.001401
intro,4600,0.000196
bubble,4700,0.034839
selection,4700,0.021026
insertion,4700,0.001922
shell,4700,0.000335
heap,4700,0.000386
merge,4700,0.000383
quick,4700,0.000238
comb,4700,0.000304
cocktail,4700,0.038758
cycle,4700,0.016329
gnome,4700,0.035013
tim,4700,0.000187
counting,4700,0.000023
radix,4700,0.000081
bucket,4700,0.000359
pigeonhole,4700,0.000053
bitonic,4700,0.000785
stooge,4700,8.484975
oddeven,4700,0.007972
strand,4700,0.001468
intro,4700,0.000203
bubble,4800,0.045480
selection,4800,0.021593
insertion,4800,0.002149
shell,4800,0.000400
heap,4800,0.000344
merge,4800,0.000363
quick,4800,0.000219
comb,4800,0.000320
cocktail,4800,0.039087
cycle,4800,0.016801
gnome,4800,0.039650
tim,4800,0.000234
counting,4800,0.000103
radix,4800,0.000091
bucket,4800,0.000344
pigeonhole,4800,0.000054
bitonic,4800,0.000816
stooge,4800,8.497918
oddeven,4800,0.008218
strand,4800,0.001553
intro,4800,0.000189
bubble,4900,0.038318
selection,4900,0.022812
insertion,4900,0.002464
shell,4900,0.000422
heap,4900,0.000362
merge,4900,0.000440
quick,4900,0.000271
comb,4900,0.000490
cocktail,4900,0.043566
cycle,4900,0.017440
gnome,4900,0.040125
tim,4900,0.000226
counting,4900,0.000022
radix,4900,0.000093
bucket,4900,0.000343
pigeonhole,4900,0.000048
bitonic,4900,0.000776
stooge,4900,8.626223
oddeven,4900,0.008882
strand,4900,0.001641
intro,4900,0.000207
bubble,5000,0.040170
selection,5000,0.024491
insertion,5000,0.002734
shell,5000,0.000531
heap,5000,0.000488
merge,5000,0.000516
quick,5000,0.000286
comb,5000,0.000333
cocktail,5000,0.043444
cycle,5000,0.018826
gnome,5000,0.038480
tim,5000,0.000242
counting,5000,0.000023
radix,5000,0.000090
bucket,5000,0.000374
pigeonhole,5000,0.000058
bitonic,5000,0.000848
stooge,5000,8.514763
oddeven,5000,0.009366
strand,5000,0.001683
intro,5000,0.000218
bubble,5100,0.043154
selection,5100,0.025061
insertion,5100,0.002998
shell,5100,0.000495
heap,5100,0.000404
merge,5100,0.000458
quick,5100,0.000254
comb,5100,0.000378
cocktail,5100,0.043731
cycle,5100,0.017957
gnome,5100,0.040916
tim,5100,0.000216
